factory_id,line_id,product_code,production_date,produced_qty,defect_qty,operator
F002,L2,PRD001,2024-05-28,983,15,최유리
F002,L3,PRD004,2024-05-14,없음,,이즈우
F002,L1,PRD001,2024-05-19,815,9,정해인
F001,L3,PRD003,2024-05-06,없음,,이즈우
F003,L3,PRD001,2024-05-19,없음,,쵀유리
F001,L3,PRD004,2024-05-18,없음,,최유리
F002,L1,PRD004,2024-05-09,978,14,최유리
F001,L3,PRD003,2024-05-28,,,이지우
F003,L1,PRD002,2024-05-27,905,,쵀유리
F002,L3,PRD002,2024-05-11,없음,,정해인
F003,L3,PRD001,2024-05-05,없음,,이지우
F003,L1,PRD002,2024-05-05,없음,,김민쑤
F002,L1,PRD003,2024-05-21,없음,14,김민수
F002,L3,PRD003,2024-05-23,없음,,정해인
F001,L3,PRD001,2024-05-24,,11,쵀유리
F002,L1,PRD004,2024-05-27,없음,,정해인
F002,L3,PRD002,2024-05-19,없음,1,김민수
F003,L2,PRD001,2024-05-04,없음,14,김민쑤
F001,L3,PRD002,2024-05-29,없음,,김민수
F003,L2,PRD003,2024-05-03,,20,박지훈
F002,L3,PRD003,2024-05-24,1158,,김민수
F003,L1,PRD001,2024-05-07,1044,,최유리
F003,L3,PRD004,2024-05-01,,10,김민쑤
F003,L1,PRD004,2024-05-03,없음,,김민수
F001,L2,PRD003,2024-05-29,953,12,이지우
F001,L3,PRD001,2024-05-20,1132,,최유리
F003,L3,PRD002,2024-05-30,,14,김민수
F001,L1,PRD001,2024-05-19,없음,,박지훜
F001,L1,PRD003,2024-05-21,843,,정해인
F003,L3,PRD003,2024-05-25,1153,9,쵀유리
F003,L3,PRD002,2024-05-24,없음,20,최유리
F002,L2,PRD001,2024-05-08,,19,쵀유리
F001,L2,PRD003,2024-05-05,,,쵀유리
F003,L1,PRD004,2024-05-31,1194,,김민수
F001,L2,PRD002,2024-05-02,없음,,쵀유리
F002,L2,PRD004,2024-05-03,,,이지우
F002,L1,PRD003,2024-05-03,1061,,박지훜
F002,L3,PRD001,2024-05-10,없음,7,최유리
F001,L2,PRD001,2024-05-15,,,이지우
F001,L1,PRD002,2024-05-23,805,,쵀유리
F003,L3,PRD003,2024-05-06,990,,김민수
F001,L2,PRD004,2024-05-09,1068,,정해인
F003,L1,PRD004,2024-05-15,없음,,정해인
F001,L2,PRD002,2024-05-09,1195,,김민수
F001,L3,PRD001,2024-05-02,806,,박지훜
F002,L1,PRD002,2024-05-30,,,최유리
F002,L1,PRD004,2024-05-30,없음,8,정해인
F002,L1,PRD001,2024-05-06,,,김민수
F002,L2,PRD003,2024-05-11,,14,박지훜
F001,L2,PRD003,2024-05-24,1118,,정해인
F002,L1,PRD002,2024-05-05,없음,0,쵀유리
F002,L3,PRD001,2024-05-31,971,,정해인
F001,L1,PRD002,2024-05-14,1051,,정해인
F001,L1,PRD002,2024-05-29,없음,,김민수
F003,L1,PRD002,2024-05-21,1001,,박지훈
F002,L3,PRD002,2024-05-08,없음,,박지훜
F002,L2,PRD003,2024-05-08,838,,김민수
F001,L1,PRD002,2024-05-15,없음,13,쵀유리
F002,L1,PRD004,2024-05-10,없음,3,이지우
F003,L2,PRD001,2024-05-07,967,,최유리
F002,L2,PRD001,2024-05-22,없음,5,김민쑤
F002,L3,PRD002,2024-05-04,1036,4,박지훈
F001,L1,PRD002,2024-05-07,없음,,김민수
F003,L3,PRD003,2024-05-30,838,2,이즈우
F001,L1,PRD003,2024-05-04,없음,1,정해인
F002,L3,PRD004,2024-05-16,없음,13,박지훜
F001,L1,PRD003,2024-05-09,1028,,정해인
F003,L1,PRD003,2024-05-16,,15,김민수
F002,L2,PRD002,2024-05-14,,16,쵀유리
F001,L2,PRD003,2024-05-16,없음,,쵀유리
F002,L2,PRD003,2024-05-06,없음,19,박지훈
F002,L1,PRD004,2024-05-17,,7,김민수
F001,L3,PRD002,2024-05-09,,1,정해인
F002,L2,PRD002,2024-05-06,,,박지훜
F003,L1,PRD003,2024-05-31,,,최유리
F002,L3,PRD003,2024-05-06,1051,2,최유리
F003,L1,PRD001,2024-05-17,1044,,최유리
F001,L2,PRD002,2024-05-30,965,0,정해인
F003,L1,PRD001,2024-05-28,없음,,김민쑤
F003,L1,PRD003,2024-05-10,965,,김민쑤
F003,L2,PRD003,2024-05-06,,,최유리
F003,L3,PRD002,2024-05-13,,9,이지우
F003,L1,PRD004,2024-05-28,,1,정해인
F002,L3,PRD002,2024-05-21,1089,15,박지훜
F003,L1,PRD002,2024-05-12,963,20,박지훜
F002,L1,PRD003,2024-05-07,,,정해인
F001,L3,PRD001,2024-05-02,없음,13,김민쑤
F002,L2,PRD003,2024-05-18,992,,최유리
F001,L2,PRD001,2024-05-26,없음,,정해인
F001,L1,PRD003,2024-05-06,992,,김민수
F002,L3,PRD004,2024-05-23,없음,20,정해인
F002,L1,PRD001,2024-05-04,969,,쵀유리
F003,L3,PRD003,2024-05-22,없음,7,박지훈
F002,L3,PRD004,2024-05-05,없음,,김민수
F002,L3,PRD004,2024-05-07,849,6,정해인
F001,L2,PRD001,2024-05-10,없음,,정해인
F001,L3,PRD004,2024-05-06,없음,11,이즈우
F001,L2,PRD004,2024-05-15,934,,박지훈
F001,L3,PRD001,2024-05-03,없음,,정해인
F001,L3,PRD001,2024-05-27,,,이즈우
F003,L1,PRD004,2024-05-10,없음,,정해인
F003,L3,PRD002,2024-05-04,없음,5,최유리
F001,L1,PRD001,2024-05-14,,13,이지우
F003,L2,PRD003,2024-05-30,1172,,쵀유리
F002,L3,PRD003,2024-05-28,,14,정해인
F003,L3,PRD004,2024-05-04,1012,,정해인
F003,L1,PRD001,2024-05-19,1199,,박지훜
F002,L2,PRD004,2024-05-21,,,박지훈
F001,L2,PRD004,2024-05-05,,12,김민쑤
F002,L3,PRD002,2024-05-02,없음,,박지훈
F002,L2,PRD003,2024-05-09,,3,이지우
F002,L3,PRD004,2024-05-25,없음,,김민수
F001,L2,PRD002,2024-05-30,,,박지훜
F001,L3,PRD002,2024-05-03,,,이지우
F003,L3,PRD001,2024-05-06,898,1,박지훈
F002,L1,PRD003,2024-05-23,없음,,쵀유리
F002,L3,PRD001,2024-05-22,815,,정해인
F002,L1,PRD004,2024-05-19,없음,11,정해인
F003,L3,PRD001,2024-05-10,없음,1,정해인
F001,L1,PRD002,2024-05-22,없음,,쵀유리
F001,L3,PRD001,2024-05-16,,,박지훈
F001,L2,PRD003,2024-05-23,,,김민쑤
F002,L2,PRD003,2024-05-07,없음,,김민쑤
F003,L1,PRD001,2024-05-17,없음,,정해인
F003,L2,PRD003,2024-05-22,없음,,정해인
F003,L2,PRD003,2024-05-09,,,최유리
F001,L3,PRD002,2024-05-29,,,박지훜
F003,L1,PRD001,2024-05-21,없음,,김민쑤
F002,L3,PRD001,2024-05-19,,,최유리
F003,L3,PRD004,2024-05-30,없음,,이지우
F003,L3,PRD002,2024-05-10,없음,,정해인
F003,L3,PRD002,2024-05-31,없음,20,최유리
F002,L1,PRD003,2024-05-14,없음,,정해인
F002,L1,PRD004,2024-05-02,,,김민수
F002,L1,PRD001,2024-05-28,없음,,김민쑤
F001,L1,PRD002,2024-05-07,없음,,이지우
F002,L3,PRD002,2024-05-25,없음,,이지우
F002,L3,PRD001,2024-05-01,없음,6,정해인
F001,L2,PRD001,2024-05-05,없음,,김민쑤
F002,L2,PRD004,2024-05-01,,,박지훜
F001,L2,PRD002,2024-05-01,1146,,최유리
F001,L3,PRD003,2024-05-10,866,,정해인
F002,L1,PRD001,2024-05-27,없음,,쵀유리
F003,L3,PRD003,2024-05-14,1151,,박지훜
F001,L1,PRD004,2024-05-01,916,4,박지훈
F003,L3,PRD002,2024-05-04,,20,김민쑤
F003,L2,PRD001,2024-05-20,,,박지훈
